Gender,Age,Study_time,Family_support,Internet_access,Previous_grades,Absences,Extra_classes,Health_status,Final_Grade
M,21,9.8,no,yes,54.1,16,yes,4,Fail
F,15,1.7,yes,yes,53.2,28,yes,2,Fail
M,18,3.8,yes,yes,49.6,26,yes,2,Fail
M,18,2.7,no,yes,41.3,9,yes,3,Fail
M,19,3.4,yes,yes,61.5,2,yes,1,Pass
F,21,,yes,yes,86.9,17,yes,4,Fail
M,21,,yes,yes,100.0,17,no,2,Fail
M,25,,yes,yes,61.4,29,no,3,Fail
M,18,,yes,yes,86.3,16,no,2,Fail
F,21,,yes,no,64.1,23,yes,4,Fail
M,25,,no,yes,45.2,2,no,4,Fail
M,17,2.9,no,yes,80.5,2,no,5,Pass
M,20,7.0,no,yes,73.5,5,no,1,Pass
M,16,4.2,no,yes,97.3,12,yes,5,Pass
F,24,3.3,yes,no,47.0,23,yes,3,Fail
M,23,3.7,yes,yes,100.0,28,yes,2,Fail
F,19,3.9,yes,yes,93.9,14,yes,3,Pass
F,20,8.6,yes,yes,69.7,24,no,4,Fail
F,18,2.2,yes,yes,65.5,8,no,5,Fail
M,25,7.4,yes,no,59.3,3,no,5,Pass
F,24,6.0,yes,yes,71.6,13,no,5,Fail
M,21,3.7,no,yes,67.2,4,yes,3,Pass
F,23,4.8,no,yes,77.7,1,yes,4,Pass
F,21,3.3,yes,yes,65.6,10,yes,2,Fail
F,15,6.5,yes,yes,91.2,8,no,2,Pass
F,15,1.7,yes,yes,71.9,23,yes,3,Fail
F,23,1.0,no,yes,66.1,2,yes,5,Pass
F,25,6.7,no,no,85.4,26,no,1,Fail
F,23,2.7,yes,no,45.7,27,no,3,Fail
F,18,1.6,yes,yes,75.1,28,yes,3,Fail
M,23,4.6,yes,no,70.4,8,yes,4,Pass
M,17,1.5,yes,yes,48.8,2,yes,2,Fail
F,21,9.0,yes,no,44.4,24,yes,3,Fail
F,20,1.2,yes,yes,85.2,1,yes,3,Pass
F,22,6.2,no,yes,84.4,11,yes,5,Pass
M,25,4.9,yes,yes,72.6,9,no,5,Pass
F,23,7.0,yes,yes,95.7,8,no,1,Pass
M,19,4.0,no,yes,76.6,14,no,4,Fail
M,15,2.4,no,yes,88.7,7,yes,1,Pass
M,17,9.8,no,yes,76.3,24,no,5,Fail
M,24,8.6,yes,yes,65.9,4,yes,2,Pass
M,22,8.7,yes,no,54.1,10,yes,5,Fail
F,25,3.3,yes,yes,60.9,26,no,4,Fail
F,20,1.3,yes,yes,66.1,1,yes,5,Pass
F,22,3.7,yes,yes,90.4,23,yes,4,Fail
F,23,5.8,yes,yes,81.5,27,no,4,Fail
F,18,3.9,yes,yes,75.0,14,no,4,Fail
M,15,8.5,yes,yes,83.1,5,no,4,Pass
F,15,3.4,yes,yes,77.9,7,yes,4,Pass
F,24,9.7,yes,yes,73.9,26,no,2,Fail
M,18,5.1,yes,no,,4,no,1,Fail
F,21,8.6,yes,yes,,15,yes,3,Fail
M,16,2.7,yes,yes,,25,no,1,Fail
F,17,4.7,yes,yes,,17,no,4,Fail
M,15,7.3,yes,yes,,5,no,2,Fail
F,19,2.2,yes,yes,,4,yes,5,Fail
F,15,2.2,yes,yes,84.2,27,yes,2,Fail
M,22,9.7,yes,yes,64.6,15,yes,4,Fail
M,15,7.4,yes,yes,64.7,12,yes,2,Fail
M,25,1.4,no,yes,73.9,27,no,2,Fail
M,15,4.6,yes,yes,74.3,4,yes,4,Pass
M,16,4.9,yes,yes,70.6,12,yes,2,Fail
M,16,7.7,no,yes,50.0,16,no,3,Fail
M,20,3.3,yes,yes,68.2,17,no,3,Fail
M,21,2.7,no,yes,100.0,7,no,2,Pass
F,19,1.7,yes,yes,28.2,12,yes,5,Fail
F,15,4.9,yes,yes,83.0,29,yes,4,Fail
M,15,7.2,yes,no,85.9,28,yes,3,Fail
F,17,1.5,no,yes,49.6,18,no,5,Fail
F,16,9.2,yes,yes,63.0,25,no,2,Fail
F,19,5.0,no,no,55.0,2,yes,5,Pass
F,24,3.2,yes,no,97.8,23,no,1,Fail
M,20,1.8,no,yes,86.5,7,no,3,Pass
F,21,2.6,yes,yes,87.3,1,no,2,Pass
M,18,9.4,no,no,71.8,7,yes,4,Pass
F,21,6.7,yes,yes,89.7,26,no,2,Fail
F,25,5.7,yes,yes,69.9,12,no,4,Fail
F,22,6.9,yes,yes,90.4,12,yes,2,Pass
M,25,4.9,yes,yes,67.8,0,yes,5,Pass
F,15,7.6,yes,yes,59.8,5,no,5,Pass
M,20,1.4,yes,yes,97.2,23,no,5,Fail
F,22,6.1,yes,yes,69.7,18,yes,1,Fail
M,19,2.4,yes,yes,56.5,15,yes,4,Fail
F,18,2.1,no,yes,56.4,7,no,5,Fail
M,16,4.1,no,yes,56.4,27,no,1,Fail
M,20,1.8,yes,no,82.7,0,no,4,Pass
F,20,1.8,no,yes,68.5,26,no,2,Fail
M,25,3.8,no,yes,100.0,26,yes,1,Fail
F,15,9.8,yes,yes,87.8,15,no,3,Pass
F,23,2.6,yes,yes,73.9,8,no,1,Pass
F,25,1.2,yes,yes,91.1,12,yes,1,Fail
F,20,7.9,yes,no,62.6,10,no,4,Pass
F,17,8.3,yes,yes,42.2,12,yes,2,Fail
F,18,4.1,yes,yes,55.2,24,no,3,Fail
F,25,5.2,no,yes,72.2,20,no,5,Fail
F,18,6.8,no,yes,66.7,9,yes,5,Pass
F,17,1.4,yes,yes,82.4,3,yes,1,Pass
F,24,9.5,yes,yes,68.1,26,no,4,Fail
F,17,9.0,yes,yes,81.2,5,no,4,Pass
M,17,3.3,yes,yes,92.5,27,no,5,Fail
M,18,1.1,yes,yes,68.1,6,yes,3,Fail
F,21,9.4,no,yes,78.3,4,no,2,Pass
F,18,5.5,yes,yes,43.7,10,yes,3,Fail
F,23,5.9,no,yes,68.1,12,yes,2,Fail
F,15,7.2,no,yes,51.5,25,no,5,Fail
F,22,6.5,yes,yes,72.2,24,yes,2,Fail
F,21,9.5,no,yes,73.5,18,no,4,Fail
F,16,9.5,yes,no,73.5,22,no,1,Fail
F,22,8.8,yes,yes,62.8,9,no,1,Pass
M,15,6.7,yes,yes,100.0,9,no,5,Pass
F,25,8.2,no,yes,51.0,10,no,4,Fail
M,23,7.1,yes,no,50.1,20,yes,3,Fail
F,23,6.2,no,yes,94.8,29,yes,4,Fail
F,16,2.2,no,yes,59.4,6,no,1,Fail
M,21,8.3,yes,yes,55.8,17,no,1,Fail
F,24,8.4,no,yes,100.0,3,yes,4,Pass
M,17,6.6,yes,yes,84.8,1,yes,4,Pass
F,21,8.4,yes,yes,61.1,13,yes,1,Fail
F,24,6.9,yes,yes,73.3,12,yes,3,Pass
M,23,2.9,yes,yes,99.2,28,no,5,Fail
F,18,3.5,no,yes,80.4,11,no,5,Pass
M,15,2.9,yes,yes,89.3,6,yes,4,Pass
F,16,4.4,yes,yes,82.1,1,no,5,Pass
M,15,1.4,no,yes,84.0,12,yes,1,Fail
M,19,6.6,yes,yes,70.6,13,no,1,Fail
F,19,4.0,yes,yes,70.2,26,yes,4,Fail
